trip_id,delay,timestamp,temperature,precipitation,rain,showers,snowfall
1988964,5,1784921945,25.5,0.0,0.0,0.0,0.0
1985211,-43,1784921890,25.5,0.0,0.0,0.0,0.0
1993180,0,1784925300,25.5,0.0,0.0,0.0,0.0
1989306,-65,1784922010,25.5,0.0,0.0,0.0,0.0
1995820,0,1784924400,25.5,0.0,0.0,0.0,0.0
1995369,-120,1784921835,25.5,0.0,0.0,0.0,0.0
1992681,0,1784925420,25.5,0.0,0.0,0.0,0.0
1989204,-155,1784921841,25.5,0.0,0.0,0.0,0.0
1992649,0,1784924640,25.5,0.0,0.0,0.0,0.0
1992763,-266,1784924134,25.5,0.0,0.0,0.0,0.0
1988786,0,1784923380,25.5,0.0,0.0,0.0,0.0
1995746,0,1784924700,25.5,0.0,0.0,0.0,0.0
1996651,-57,1784925183,25.5,0.0,0.0,0.0,0.0
1984241,0,1784925420,25.5,0.0,0.0,0.0,0.0
1992680,0,1784923560,25.5,0.0,0.0,0.0,0.0
1985022,114,1784921938,25.5,0.0,0.0,0.0,0.0
1984866,0,1784922720,25.5,0.0,0.0,0.0,0.0
1992817,0,1784923920,25.5,0.0,0.0,0.0,0.0
1992977,102,1784921907,25.5,0.0,0.0,0.0,0.0
1984391,0,1784922300,25.5,0.0,0.0,0.0,0.0
1985303,0,1784923200,25.5,0.0,0.0,0.0,0.0
1995670,0,1784923620,25.5,0.0,0.0,0.0,0.0
1984597,0,1784925360,25.5,0.0,0.0,0.0,0.0
1984550,75,1784921895,25.5,0.0,0.0,0.0,0.0
1988870,0,1784924100,25.5,0.0,0.0,0.0,0.0
1985147,209,1784921947,25.5,0.0,0.0,0.0,0.0
1995709,197,1784921897,25.5,0.0,0.0,0.0,0.0
1996902,0,1784924640,25.5,0.0,0.0,0.0,0.0
1985024,0,1784922600,25.5,0.0,0.0,0.0,0.0
1992612,116,1784921936,25.5,0.0,0.0,0.0,0.0
1997277,0,1784922180,25.5,0.0,0.0,0.0,0.0
1988969,0,1784923020,25.5,0.0,0.0,0.0,0.0
1996379,-34,1784921897,25.5,0.0,0.0,0.0,0.0
1984901,0,1784922600,25.5,0.0,0.0,0.0,0.0
1996649,0,1784923560,25.5,0.0,0.0,0.0,0.0
1985146,199,1784921899,25.5,0.0,0.0,0.0,0.0
1989305,15,1784921979,25.5,0.0,0.0,0.0,0.0
1992719,-256,1784921693,25.5,0.0,0.0,0.0,0.0
1996242,168,1784924148,25.5,0.0,0.0,0.0,0.0
1984963,0,1784923740,25.5,0.0,0.0,0.0,0.0
1989207,-99,1784923461,25.5,0.0,0.0,0.0,0.0
1993009,26,1784921906,25.5,0.0,0.0,0.0,0.0
1996757,15,1784921978,25.5,0.0,0.0,0.0,0.0
1984281,-94,1784921836,25.5,0.0,0.0,0.0,0.0
1996454,630,1784924610,25.5,0.0,0.0,0.0,0.0
1985362,-1,1784922899,25.5,0.0,0.0,0.0,0.0
1995923,219,1784921919,25.5,0.0,0.0,0.0,0.0
1984814,209,1784921974,25.5,0.0,0.0,0.0,0.0
1996826,-163,1784922677,25.5,0.0,0.0,0.0,0.0
1984764,-9,1784921903,25.5,0.0,0.0,0.0,0.0
1985023,62,1784921942,25.5,0.0,0.0,0.0,0.0
1989154,-40,1784925260,25.5,0.0,0.0,0.0,0.0
1996237,-292,1784921708,25.5,0.0,0.0,0.0,0.0
1984283,0,1784922255,25.5,0.0,0.0,0.0,0.0
1985025,0,1784923560,25.5,0.0,0.0,0.0,0.0
1984767,-54,1784923686,25.5,0.0,0.0,0.0,0.0
1984388,92,1784921924,25.5,0.0,0.0,0.0,0.0
1989261,100,1784921944,25.5,0.0,0.0,0.0,0.0
1995870,40,1784924320,25.5,0.0,0.0,0.0,0.0
1984284,-1106,1784921734,25.5,0.0,0.0,0.0,0.0
1985209,-16,1784921933,25.5,0.0,0.0,0.0,0.0
1984336,-670,1784921390,25.5,0.0,0.0,0.0,0.0
1984769,0,1784925180,25.5,0.0,0.0,0.0,0.0
1996401,0,1784922900,25.5,0.0,0.0,0.0,0.0
1997275,55,1784921995,25.5,0.0,0.0,0.0,0.0
1996380,-133,1784923547,25.5,0.0,0.0,0.0,0.0
1996518,1122,1784921961,25.5,0.0,0.0,0.0,0.0
1984631,0,1784923380,25.5,0.0,0.0,0.0,0.0
1995372,-94,1784923826,25.5,0.0,0.0,0.0,0.0
